,COBRA_Group,Reactions,Reaction_Count,Cluster
49,Terpenoid Biosynthesis,"['MECDPS', 'UDCPDPS', 'DMPPS', 'IPDPS', 'DMATT', 'GRTT', 'DXPS', 'CDPMEK', 'DXPRIi', 'MECDPDH2', 'MEPCT']",11,True
50,Thiamine Metabolism,['TMDPK'],1,True
51,Threonine Lysine Metabolism,['Pseudo_Group_20'],1,True
53,Trna Charging,"['METTRS', 'GLYTRS', 'THRTRS', 'ASPTRS', 'GLUTRS', 'SERTRS']",6,True
54,"Tyrosine, Tryptophan, Phenylalanine Biosynthesis","['Pseudo_Group_25', 'PHETRS', 'Pseudo_Group_24', 'Pseudo_Group_26', 'TRPTRS', 'Pseudo_Group_23']",6,True
55,"Tyrosine, Tryptophan, Phenylalanine Metabolism","['Pseudo_Group_25', 'TRPS1', 'Pseudo_Group_28', 'ANS', 'CHORM', 'Pseudo_Group_24', 'Pseudo_Group_27', 'Pseudo_Group_26', 'TYRTRS', 'Pseudo_Group_23']",10,True
56,Unassigned,"['ATPM', 'ACGAMK']",2,True
57,"Valine, Leucine Isoleucine Degradationvaline, Leucine Isoleucine Biosynthesis","['Pseudo_Group_30', 'Pseudo_Group_29']",2,True
58,"Valine, Leucine, Isoleucine Biosynthesis","['LEUTRS', 'Pseudo_Group_31', 'ILETRS', 'VALTRS', 'Pseudo_Group_29']",5,True
60,Vitamine B6 Metabolism,"['Pseudo_Group_50', 'PLPS']",2,True
