iAF1260_BIGG,Subsystem,name,reaction_string
3OAS100,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),h_c + malACP_c + ocACP_c <-> 3odecACP_c + ACP_c + co2_c
3OAS120,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),dcaACP_c + h_c + malACP_c <-> 3oddecACP_c + ACP_c + co2_c
3OAS140,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),ddcaACP_c + h_c + malACP_c <-> 3omrsACP_c + ACP_c + co2_c
3OAS161,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),h_c + malACP_c + tdeACP_c <-> 3ocpalm9eACP_c + ACP_c + co2_c
3OAS60,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),butACP_c + h_c + malACP_c <-> 3ohexACP_c + ACP_c + co2_c
3PEPTabcpp,S_Murein_Recycling,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),atp_c + h2o_c + LalaDgluMdap_p <-> LalaDgluMdap_c + adp_c + h_c + pi_c
3UMPtex,S_Transport__Outer_Membrane_Porin,3UMP transport via diffusion (extracellular to periplasm),3ump_e <-> 3ump_p
4HTHRS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c <-> 4hthr_c + pi_c
5DGLCNt2rpp,S_Transport__Inner_Membrane,"5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)",5dglcn_p + h_p <-> 5dglcn_c + h_c
5DOAN,S_Cofactor_and_Prosthetic_Group_Biosynthesis,5'-deoxyadenosine nuclosidase,dad_5_c + h2o_c <-> 5drib_c + ade_c
A5PISO,S_Alternate_Carbon_Metabolism,Arabinose-5-phosphate isomerase,ru5p__D_c <-> ara5p_c
AACPS5,S_Cell_Envelope_Biosynthesis,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),ACP_c + atp_c + ocdcea_c <-> amp_c + octeACP_c + ppi_c
AACPS6,S_Cell_Envelope_Biosynthesis,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),ACP_c + atp_c + ocdca_c <-> amp_c + ocdcaACP_c + ppi_c
AACPS9,S_Cell_Envelope_Biosynthesis,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),ACP_c + atp_c + octa_c <-> amp_c + ocACP_c + ppi_c
AAMYLpp,S_Alternate_Carbon_Metabolism,Alpha-amylase (periplasm),14glucan_p <-> malthx_p
ABTA,S_Arginine_and_Proline_Metabolism,4-aminobutyrate transaminase,4abut_c + akg_c <-> glu__L_c + sucsal_c
ABUTt2pp,S_Transport__Inner_Membrane,4-aminobutyrate transport in via proton symport (periplasm),4abut_p + h_p <-> 4abut_c + h_c
ACACtex,S_Transport__Outer_Membrane_Porin,Acetoacetate transport via diffusion (extracellular to periplasm),acac_e <-> acac_p
ACALDtex,S_Transport__Outer_Membrane_Porin,Acetaldehyde transport via diffusion (extracellular to periplasm),acald_e <-> acald_p
ACALDtpp,S_Transport__Inner_Membrane,Acetaldehyde reversible transport (periplasm),acald_p <-> acald_c
ACBIPGT,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Adenosyl cobinamide phosphate guanyltransferase,adocbip_c + gtp_c + h_c <-> agdpcbi_c + ppi_c
ACCOAL,S_Alternate_Carbon_Metabolism,Acetate-CoA ligase (ADP-forming),atp_c + coa_c + ppa_c <-> adp_c + pi_c + ppcoa_c
ACGAM1PPpp,S_Alternate_Carbon_Metabolism,N-acetyl-D-glucosamine 1-phosphatase (periplasm),acgam1p_p + h2o_p <-> acgam_p + pi_p
ACGAptspp,S_Transport__Inner_Membrane,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),pep_c + acgam_p <-> acgam6p_c + pyr_c
ACGAtex,S_Transport__Outer_Membrane_Porin,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),acgam_e <-> acgam_p
ACGS,S_Arginine_and_Proline_Metabolism,N-acetylglutamate synthase,accoa_c + glu__L_c <-> acglu_c + coa_c + h_c
ACLS,S_Valine__Leucine__and_Isoleucine_Metabolism,Acetolactate synthase,h_c + 2.0 pyr_c <-> alac__S_c + co2_c
ACMAMUT,S_Cell_Envelope_Biosynthesis,UDP-N-acetyl-D-mannosaminuronic acid transferase,uacmamu_c + unaga_c <-> h_c + udp_c + unagamu_c
ACMANAtex,S_Transport__Outer_Membrane_Porin,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),acmana_e <-> acmana_p
ACMUMtex,S_Transport__Outer_Membrane_Porin,N-acetylmuramate transport via diffusion (extracellular to periplasm),acmum_e <-> acmum_p
ACNAMt2pp,S_Transport__Inner_Membrane,N-acetylneuraminate proton symport (periplasm),acnam_p + h_p <-> acnam_c + h_c
ACNML,S_Alternate_Carbon_Metabolism,N-Acetylneuraminate lyase,acnam_c <-> acmana_c + pyr_c
ACOAD1f,S_Membrane_Lipid_Metabolism,Acyl-CoA dehydrogenase (butanoyl-CoA),btcoa_c + fad_c <-> b2coa_c + fadh2_c
ACOAD5f,S_Membrane_Lipid_Metabolism,Acyl-CoA dehydrogenase (dodecanoyl-CoA),ddcacoa_c + fad_c <-> dd2coa_c + fadh2_c
ACOAD7f,S_Membrane_Lipid_Metabolism,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),fad_c + pmtcoa_c <-> fadh2_c + hdd2coa_c
ACOAD8f,S_Membrane_Lipid_Metabolism,Acyl-CoA dehydrogenase (octadecanoyl-CoA),fad_c + stcoa_c <-> fadh2_c + od2coa_c
ACOATA,S_Membrane_Lipid_Metabolism,Acetyl-CoA ACP transacylase,ACP_c + accoa_c <-> acACP_c + coa_c
ACODA,S_Arginine_and_Proline_Metabolism,Acetylornithine deacetylase,acorn_c + h2o_c <-> ac_c + orn_c
ACONIs,S_Unassigned,Aconitate isomerase (spontaneous),acon_T_c <-> acon_C_c
ACONMT,S_Unassigned,Trans-aconitate methyltransferase,acon_T_c + amet_c <-> aconm_c + ahcys_c
ACOTA,S_Arginine_and_Proline_Metabolism,Acetylornithine transaminase,acorn_c + akg_c <-> acg5sa_c + glu__L_c
ACSERtpp,S_Transport__Inner_Membrane,O-Acetyl-L-serine export via facilitated transport,acser_c <-> acser_p
ACt2rpp,S_Transport__Inner_Membrane,Acetate reversible transport via proton symport (periplasm),ac_p + h_p <-> ac_c + h_c
ACtex,S_Transport__Outer_Membrane_Porin,Acetate transport via diffusion (extracellular to periplasm),ac_e <-> ac_p
ADCL,S_Cofactor_and_Prosthetic_Group_Biosynthesis,4-aminobenzoate synthase,4adcho_c <-> 4abz_c + h_c + pyr_c
ADCS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c <-> 4adcho_c + glu__L_c
ADD,S_Nucleotide_Salvage_Pathway,Adenine deaminase,ade_c + h_c + h2o_c <-> hxan_c + nh4_c
ADEt2rpp,S_Transport__Inner_Membrane,Adenine transport via proton symport (reversible) (periplasm),ade_p + h_p <-> ade_c + h_c
ADEtex,S_Transport__Outer_Membrane_Porin,Adenine transport via diffusion (extracellular to periplasm),ade_e <-> ade_p
ADK3,S_Nucleotide_Salvage_Pathway,Adentylate kinase (GTP),amp_c + gtp_c <-> adp_c + gdp_c
ADNCYC,S_Nucleotide_Salvage_Pathway,Adenylate cyclase,atp_c <-> camp_c + ppi_c
ADNK1,S_Nucleotide_Salvage_Pathway,Adenosine kinase,adn_c + atp_c <-> adp_c + amp_c + h_c
ADNUC,S_Alternate_Carbon_Metabolism,Adenosine hydrolase,adn_c + h2o_c <-> ade_c + rib__D_c
ADOCBLS,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Adenosylcobalamin 5'-phosphate synthase,agdpcbi_c + rdmbzi_c <-> adocbl_c + gmp_c + h_c
ADOCBLabcpp,S_Transport__Inner_Membrane,Adenosylcobalamin transport via ABC system (periplasm),atp_c + h2o_c + adocbl_p <-> adocbl_c + adp_c + h_c + pi_c
ADOCBLtonex,S_Transport__Outer_Membrane,Adenosylcobalimin transport via ton system (extermal),adocbl_e + h_p <-> h_c + adocbl_p
ADPT,S_Nucleotide_Salvage_Pathway,Adenine phosphoribosyltransferase,ade_c + prpp_c <-> amp_c + ppi_c
ADSK,S_Cysteine_Metabolism,Adenylyl-sulfate kinase,aps_c + atp_c <-> adp_c + h_c + paps_c
ADSS,S_Purine_and_Pyrimidine_Biosynthesis,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c <-> dcamp_c + gdp_c + 2.0 h_c + pi_c
AGM3PA,S_Murein_Recycling,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,anhgm3p_c + h2o_c <-> LalaDgluMdap_c + anhgm_c
AGM3PH,S_Murein_Recycling,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",anhgm3p_c + h2o_c <-> acgam_c + anhm3p_c
AGM4PCP,S_Murein_Recycling,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhgm4p_c + h2o_c <-> ala__D_c + anhgm3p_c
AGM4PCPpp,S_Murein_Recycling,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)",anhgm4p_p + h2o_p <-> ala__D_p + anhgm3p_p
AGMT,S_Arginine_and_Proline_Metabolism,Agmatinase,agm_c + h2o_c <-> ptrc_c + urea_c
AGMt2pp,S_Murein_Recycling,GlcNAc-anhMurNAc transport in via proton symport (periplasm),anhgm_p + h_p <-> anhgm_c + h_c
AGMtex,S_Transport__Outer_Membrane_Porin,Agmatine transport via diffusion (extracellular to periplasm),agm_e <-> agm_p
AGPAT161,S_Glycerophospholipid_Metabolism,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),1hdec9eg3p_c + hdeACP_c <-> ACP_c + pa161_c
AGPAT180,S_Glycerophospholipid_Metabolism,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),1odecg3p_c + ocdcaACP_c <-> ACP_c + pa180_c
AGt3,S_Inorganic_Ion_Transport_and_Metabolism,Silver transport out via proton antiport,ag_c + h_e <-> h_c + ag_e
AIRC2,S_Purine_and_Pyrimidine_Biosynthesis,Phosphoribosylaminoimidazole carboxylase,air_c + atp_c + hco3_c <-> 5caiz_c + adp_c + h_c + pi_c
ALAALAr,S_Cell_Envelope_Biosynthesis,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <-> adp_c + alaala_c + h_c + pi_c
ALAALAtex,S_Transport__Outer_Membrane_Porin,D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm),alaala_e <-> alaala_p
ALATA_D2,S_Cofactor_and_Prosthetic_Group_Biosynthesis,D-alanine transaminase,ala__D_c + pydx5p_c <-> pyam5p_c + pyr_c
ALATA_L,S_Alanine_and_Aspartate_Metabolism,L-alanine transaminase,akg_c + ala__L_c <-> glu__L_c + pyr_c
ALATA_L2,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Alanine transaminase,ala__L_c + pydx5p_c <-> pyam5p_c + pyr_c
ALATRS,S_tRNA_Charging,Alanyl-tRNA synthetase,ala__L_c + atp_c + trnaala_c <-> alatrna_c + amp_c + ppi_c
ALAt2pp,S_Transport__Inner_Membrane,L-alanine transport in via proton symport (periplasm),ala__L_p + h_p <-> ala__L_c + h_c
ALCD2x,S_Pyruvate_Metabolism,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <-> acald_c + h_c + nadh_c
ALLK,S_Alternate_Carbon_Metabolism,Allose kinase,all__D_c + atp_c <-> adp_c + all6p_c + h_c
ALLTAMH,S_Alternate_Carbon_Metabolism,Allantoate amidohydrolase,alltt_c + 2.0 h_c + 2.0 h2o_c <-> co2_c + 2.0 nh4_c + urdglyc_c
ALLTNtex,S_Transport__Outer_Membrane_Porin,Allantoin transport via diffusion (extracellular to periplasm),alltn_e <-> alltn_p
ALPATE160pp,S_Unassigned,"Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",alpp_p + pe160_p <-> 2agpe160_p + lpp_p
ALR4x,S_Glycerophospholipid_Metabolism,Aldose reductase (acetol),acetol_c + h_c + nadh_c <-> 12ppd__R_c + nad_c
ALTRH,S_Alternate_Carbon_Metabolism,Altronate hydrolase,altrn_c <-> 2ddglcn_c + h2o_c
AM4PA,S_Murein_Recycling,Anhydrous-N-Acetylmuramyl-tetrapeptide amidase,anhm4p_c + h2o_c <-> LalaDgluMdapDala_c + anhm_c
AM4PCP,S_Murein_Recycling,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhm4p_c + h2o_c <-> ala__D_c + anhm3p_c
AMALT3,S_Alternate_Carbon_Metabolism,Amylomaltase (maltopentaose),malt_c + maltpt_c <-> glc__D_c + malthx_c
AMANAPEr,S_Alternate_Carbon_Metabolism,N-acetylmannosamine 6-phosphate epimerase,acmanap_c <-> acgam6p_c
AMANK,S_Alternate_Carbon_Metabolism,N-acetyl-D-mannosamine kinase,acmana_c + atp_c <-> acmanap_c + adp_c + h_c
AMAOTr,S_Cofactor_and_Prosthetic_Group_Biosynthesis,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c <-> amob_c + dann_c
AMPMS2,S_Cofactor_and_Prosthetic_Group_Biosynthesis,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,air_c + h2o_c + nad_c <-> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
AMPN,S_Nucleotide_Salvage_Pathway,AMP nucleosidase,amp_c + h2o_c <-> ade_c + r5p_c
AMPtex,S_Transport__Outer_Membrane_Porin,AMP transport via diffusion (extracellular to periplasm),amp_e <-> amp_p
ANHGMtex,S_Transport__Outer_Membrane_Porin,GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm),anhgm_e <-> anhgm_p
ANPRT,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism,Anthranilate phosphoribosyltransferase,anth_c + prpp_c <-> ppi_c + pran_c
AP5AH,S_Nucleotide_Salvage_Pathway,Ap5A hydrolase,ap5a_c + h2o_c <-> adp_c + atp_c + 2.0 h_c
ARAI,S_Alternate_Carbon_Metabolism,L-arabinose isomerase,arab__L_c <-> rbl__L_c
ARBTNR1,S_Inorganic_Ion_Transport_and_Metabolism,Aerobactin reductase,2.0 arbtn_fe3_c + fadh2_c <-> 2.0 arbtn_c + fad_c + 2.0 fe2_c + 2.0 h_c
ARBTNexs,S_Inorganic_Ion_Transport_and_Metabolism,Aerobactin Fe-loading reaction (spontaneous),arbtn_e + fe3_e <-> arbtn_fe3_e
ARBTNtpp,S_Inorganic_Ion_Transport_and_Metabolism,Aerobactin secretion (to periplasm),arbtn_c + h_p <-> h_c + arbtn_p
ARBabcpp,S_Transport__Inner_Membrane,L-arabinose transport via ABC system (periplasm),atp_c + h2o_c + arab__L_p <-> adp_c + arab__L_c + h_c + pi_c
ARBtex,S_Transport__Outer_Membrane_Porin,L-arabinose transport via diffusion (extracellular to periplasm),arab__L_e <-> arab__L_p
ARGAGMt7pp,S_Transport__Inner_Membrane,Arginine/agmatine antiport (periplasm),agm_c + arg__L_p <-> arg__L_c + agm_p
ARGDC,S_Arginine_and_Proline_Metabolism,Arginine decarboxylase,arg__L_c + h_c <-> agm_c + co2_c
ARGDCpp,S_Arginine_and_Proline_Metabolism,Arginine decarboxylase,arg__L_p + h_p <-> agm_p + co2_p
ARGSS,S_Arginine_and_Proline_Metabolism,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c <-> amp_c + argsuc_c + h_c + ppi_c
ARGTRS,S_tRNA_Charging,Arginyl-tRNA synthetase,arg__L_c + atp_c + trnaarg_c <-> amp_c + argtrna_c + ppi_c
ARGt3pp,S_Transport__Inner_Membrane,L-arginine transport out via proton antiport (cytoplasm to periplasm),arg__L_c + h_p <-> h_c + arg__L_p
ARGtex,S_Transport__Outer_Membrane_Porin,L-arginine transport via diffusion (extracellular to periplasm),arg__L_e <-> arg__L_p
ASAD,S_Threonine_and_Lysine_Metabolism,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <-> 4pasp_c + h_c + nadph_c
ASCBPL,S_Alternate_Carbon_Metabolism,L-ascorbate 6-phosphate lactonase,ascb6p_c + h2o_c <-> 3dhgulnp_c + h_c
ASCBtex,S_Transport__Outer_Membrane_Porin,L-ascorbate transport via diffusion (extracellular to periplasm),ascb__L_e <-> ascb__L_p
ASNN,S_Alanine_and_Aspartate_Metabolism,L-asparaginase,asn__L_c + h2o_c <-> asp__L_c + nh4_c
ASNS2,S_Alanine_and_Aspartate_Metabolism,Asparagine synthetase,asp__L_c + atp_c + nh4_c <-> amp_c + asn__L_c + h_c + ppi_c
ASNabcpp,S_Transport__Inner_Membrane,L-asparagine transport via ABC system (periplasm),atp_c + h2o_c + asn__L_p <-> adp_c + asn__L_c + h_c + pi_c
ASNt2rpp,S_Transport__Inner_Membrane,L-asparagine reversible transport via proton symport (periplasm),asn__L_p + h_p <-> asn__L_c + h_c
ASNtex,S_Transport__Outer_Membrane_Porin,L-asparagine transport via diffusion (extracellular to periplasm),asn__L_e <-> asn__L_p
ASPO3,S_Cofactor_and_Prosthetic_Group_Biosynthesis,L-aspartate oxidase,asp__L_c + q8_c <-> h_c + iasp_c + q8h2_c
ASPO4,S_Cofactor_and_Prosthetic_Group_Biosynthesis,L-aspartate oxidase,asp__L_c + mqn8_c <-> h_c + iasp_c + mql8_c
ASPT,S_Alanine_and_Aspartate_Metabolism,L-aspartase,asp__L_c <-> fum_c + nh4_c
ASPTA,S_Alanine_and_Aspartate_Metabolism,Aspartate transaminase,akg_c + asp__L_c <-> glu__L_c + oaa_c
ASPTRS,S_tRNA_Charging,Aspartyl-tRNA synthetase,asp__L_c + atp_c + trnaasp_c <-> amp_c + asptrna_c + ppi_c
ASPabcpp,S_Transport__Inner_Membrane,L-aspartate transport via ABC system (periplasm),atp_c + h2o_c + asp__L_p <-> adp_c + asp__L_c + h_c + pi_c
ASPt2_2pp,S_Transport__Inner_Membrane,Aspartate transport via proton symport (2 H) (periplasm),asp__L_p + 2.0 h_p <-> asp__L_c + 2.0 h_c
ASPtex,S_Transport__Outer_Membrane_Porin,L-aspartate transport via diffusion (extracellular to periplasm),asp__L_e <-> asp__L_p
AST,S_Arginine_and_Proline_Metabolism,Arginine succinyltransferase,arg__L_c + succoa_c <-> coa_c + h_c + sucarg_c
ATHRDHr,S_Threonine_and_Lysine_Metabolism,L-allo-threonine dehydrogenase,athr__L_c + nadp_c <-> 2aobut_c + h_c + nadph_c
ATPHs,S_Nucleotide_Salvage_Pathway,ATP amine hydrolysis (spontaneous),atp_c + h_c + h2o_c <-> itp_c + nh4_c
ATPM,S_Unassigned,ATP maintenance requirement,atp_c + h2o_c <-> adp_c + h_c + pi_c
ATPS4rpp,S_Oxidative_Phosphorylation,ATP synthase (four protons for one ATP) (periplasm),adp_c + pi_c + 4.0 h_p <-> atp_c + 3.0 h_c + h2o_c
BALAt2pp,S_Transport__Inner_Membrane,Beta-alanine transport in via proton symport (periplasm),ala_B_p + h_p <-> ala_B_c + h_c
BETALDHx,S_Unassigned,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nad_c <-> glyb_c + 2.0 h_c + nadh_c
BUTCT,S_Alternate_Carbon_Metabolism,Acetyl-CoA:butyrate-CoA transferase,accoa_c + but_c <-> ac_c + btcoa_c
